factory_id,product_type,production_cost_per_unit,labor_hours_used,inventory_level,lead_time_days,defect_rate_percentage,market_demand_index,supply_chain_efficiency_score,profitability_flag
230,Fabric,430,1292,17330,16,0.55,20,92,0
356,Fabric,317,913,596,22,7.28,20,82,0
104,Yarn,376,1252,2926,1,6.77,23,56,0
317,Cotton,50,1836,11409,7,2.48,96,88,1
354,Yarn,210,807,14055,28,7.76,82,66,0
497,Yarn,293,1983,9194,10,6.66,68,61,1
458,Cotton,424,367,8689,21,9.21,27,83,0
382,Yarn,447,1723,13156,8,1.33,70,75,0
492,Ready-made garment,300,864,8756,21,5.32,33,47,0
306,Fabric,416,1873,7240,26,11.98,36,72,0
114,Yarn,113,684,15809,5,8.27,44,65,0
445,Cotton,348,518,14605,18,8.21,77,70,0
141,Fabric,297,969,17545,4,3.81,31,92,0
479,Fabric,491,1990,9172,20,1.13,20,50,0
560,Yarn,346,1284,14578,16,11.39,80,68,0
278,Ready-made garment,164,1181,7379,10,1.27,67,68,1
162,Yarn,344,483,5162,26,11.91,85,77,0
451,Ready-made garment,50,902,8315,16,1.51,13,76,0
330,Fabric,90,609,3761,8,2.05,75,98,1
340,Yarn,222,529,905,19,3.7,74,97,1
151,Cotton,137,1463,4060,1,6.15,27,54,0
195,Yarn,147,677,12075,23,9.48,68,93,0
487,Ready-made garment,137,1039,12359,9,11.65,32,90,0
321,Ready-made garment,300,1149,13653,6,4.31,13,96,0
584,Yarn,384,1933,8356,13,0.24,62,54,0
506,Ready-made garment,190,688,9809,13,7.4,92,46,0
330,Fabric,120,897,7190,18,8.53,49,97,0
336,Yarn,186,471,12174,14,4.77,49,88,0
242,Ready-made garment,496,1027,1241,2,2.2,60,92,0
270,Yarn,148,1159,11931,16,3.67,18,97,0
128,Yarn,200,1654,7681,17,7.87,32,68,0
135,Cotton,487,1913,8231,22,5.93,22,72,0
112,Yarn,224,1956,3421,16,8.92,10,85,0
259,Cotton,216,1948,7874,14,2.62,85,90,1
426,Ready-made garment,392,1390,7523,13,10.1,19,93,0
286,Cotton,459,1917,6061,16,1.87,36,55,0
342,Cotton,306,1555,6134,24,3.96,28,73,0
185,Cotton,447,1142,1410,1,7.09,31,60,0
383,Fabric,273,1462,5202,28,8.84,98,46,0
165,Cotton,417,239,18302,17,3.19,20,83,0
269,Yarn,379,166,15073,1,11.38,84,68,0
144,Cotton,114,1114,13001,10,8.47,99,48,0
161,Yarn,118,1947,4538,5,2.61,25,88,0
540,Cotton,116,1653,631,7,8.71,38,46,0
233,Fabric,482,1492,10748,4,8.36,39,53,0
383,Ready-made garment,99,360,17036,1,9.03,20,69,0
127,Cotton,363,1747,19362,1,10.99,66,63,0
207,Cotton,358,1073,17188,10,8.54,74,90,0
143,Fabric,140,726,16782,3,4.22,15,73,0
439,Cotton,164,1801,3019,5,9.49,86,47,0
385,Yarn,423,678,6612,13,8.35,44,94,0
545,Cotton,106,1890,1492,21,6.89,68,99,1
430,Cotton,391,1705,6147,25,4.25,23,40,0
227,Ready-made garment,67,1943,11251,9,11.05,52,73,0
447,Ready-made garment,321,1121,8097,25,6.15,55,59,1
572,Cotton,179,1326,18593,8,7.54,31,70,0
330,Fabric,318,738,17354,11,4.98,69,54,1
289,Ready-made garment,478,509,4066,25,9.37,94,54,0
324,Cotton,129,932,9204,24,4.09,11,90,0
484,Ready-made garment,348,1203,12085,29,9.73,78,73,0
476,Cotton,359,1811,3785,14,1.3,24,44,0
382,Ready-made garment,251,212,12529,8,8.51,59,93,0
545,Ready-made garment,274,722,10884,24,5.72,93,61,1
220,Yarn,208,920,13346,24,8.39,99,94,0
215,Cotton,253,1260,13579,21,6.38,65,51,1
560,Cotton,186,1768,14536,10,1.61,72,84,1
332,Cotton,122,939,9051,3,5.72,97,70,1
358,Cotton,97,288,784,4,11.57,44,93,0
458,Ready-made garment,67,376,15600,25,9.06,97,68,0
297,Yarn,316,1860,3777,23,3.6,35,61,0
555,Yarn,495,202,19515,12,11.33,95,87,0
510,Fabric,389,206,2257,9,9.35,36,47,0
236,Cotton,68,1698,13952,11,4.37,28,99,0
417,Fabric,149,856,15795,11,7.24,46,76,0
264,Ready-made garment,165,272,6287,16,5.12,45,67,0
324,Fabric,395,1968,10104,13,1.16,49,60,0
406,Cotton,123,1098,9049,27,9.67,72,50,0
333,Yarn,329,1454,7230,14,2.29,48,50,0
271,Yarn,318,821,15108,7,5.5,21,62,0
251,Cotton,174,1314,16279,12,8.43,53,81,0
562,Ready-made garment,165,1793,3641,24,11.19,89,52,0
414,Cotton,223,930,11568,28,0.75,57,82,1
473,Ready-made garment,230,324,14756,19,4.72,88,66,1
259,Yarn,275,1807,696,8,7.38,42,62,0
195,Ready-made garment,206,1446,18758,4,9.35,88,90,0
571,Cotton,213,1631,6330,22,11.05,41,72,0
332,Cotton,120,1671,16368,17,0.01,31,92,0
279,Cotton,271,233,7179,2,7.53,15,65,0
212,Ready-made garment,175,1160,8486,23,0.08,39,82,0
417,Ready-made garment,194,192,1437,22,9.45,26,75,0
596,Ready-made garment,225,174,19078,13,1.8,11,72,0
541,Yarn,201,855,12222,26,10.74,89,92,0
151,Fabric,231,282,14489,28,1.86,64,77,1
367,Fabric,424,816,11618,21,9.17,21,94,0
394,Cotton,396,558,13932,7,3.47,21,55,0
485,Yarn,134,1822,15419,18,6.69,60,49,1
486,Ready-made garment,413,1801,9038,10,7.3,57,82,0
212,Cotton,432,726,16112,4,2.48,48,99,0
200,Yarn,170,508,11536,21,3.58,90,87,1
212,Cotton,178,306,8810,8,1.29,79,80,1
539,Yarn,55,1368,11472,22,0.06,99,83,1
180,Yarn,383,1456,10819,22,2.87,10,91,0
286,Fabric,232,772,19350,21,6.19,25,56,0
212,Cotton,87,1648,9275,26,8.56,55,91,0
101,Ready-made garment,466,1417,19643,13,9.52,72,82,0
229,Fabric,165,1112,2208,14,0.84,68,62,1
319,Fabric,151,847,6877,21,3.27,56,40,1
153,Ready-made garment,57,372,14769,17,9.24,25,68,0
442,Yarn,267,478,9363,12,5.77,55,64,1
584,Ready-made garment,256,725,16007,4,2.19,89,45,1
323,Cotton,127,763,18569,9,4.71,48,49,0
324,Ready-made garment,417,1149,10769,15,3.24,59,79,0
484,Yarn,453,779,19369,15,0.61,58,93,0
502,Ready-made garment,104,643,10388,18,9.16,35,53,0
225,Yarn,353,832,18337,27,3.5,42,62,0
229,Yarn,489,1841,19874,6,11.34,29,58,0
152,Cotton,277,1977,10993,2,10.66,86,95,0
271,Ready-made garment,137,1733,15842,9,8.6,81,92,0
317,Ready-made garment,59,190,11950,5,3.92,91,70,1
259,Cotton,357,575,18234,25,3.36,50,78,0
297,Yarn,483,825,6842,12,5.7,20,78,0
515,Ready-made garment,339,1311,15716,29,4.26,64,77,1
346,Cotton,213,1692,5934,26,10.81,56,58,0
423,Yarn,288,1742,18163,5,1.48,87,82,1
538,Cotton,366,1318,17704,12,8.69,59,40,0
302,Ready-made garment,193,633,10035,25,7.33,32,77,0
283,Cotton,384,797,6619,15,9.68,70,52,0
222,Fabric,67,979,19179,2,6.51,16,96,0
500,Yarn,120,184,16887,11,7.55,24,89,0
354,Fabric,224,691,3060,23,11.55,88,73,0
393,Fabric,391,940,11245,24,1.1,18,97,0
379,Yarn,337,176,530,19,1.26,94,56,1
424,Yarn,348,429,8632,17,4.72,46,71,0
471,Cotton,388,482,13496,18,5.67,68,88,0
197,Yarn,473,1556,17769,10,2.4,37,73,0
297,Fabric,297,476,4538,5,0.99,15,72,0
569,Fabric,242,440,19174,25,0.27,19,83,0
494,Ready-made garment,468,1300,4394,21,9.18,24,67,0
339,Yarn,374,1549,5096,17,5.82,97,83,0
243,Fabric,355,523,17088,28,10.12,13,98,0
196,Ready-made garment,317,273,10175,1,4.33,67,68,1
300,Ready-made garment,253,505,12953,13,8.44,24,93,0
223,Cotton,390,181,8320,2,5.86,46,76,0
286,Fabric,172,120,17415,17,7.34,11,63,0
425,Cotton,107,790,10784,15,4.44,56,87,1
563,Fabric,388,1109,13244,8,0.97,37,55,0
448,Cotton,496,497,8516,2,11.37,78,52,0
358,Cotton,250,429,17110,28,10.03,96,65,0
247,Yarn,482,324,6642,27,3.74,82,46,0
351,Cotton,161,1900,7982,8,11.5,80,83,0
542,Yarn,177,1525,18983,27,3.61,77,53,1
519,Ready-made garment,85,880,7813,5,5.32,28,91,0
502,Fabric,283,1886,14530,17,9.06,17,71,0
445,Ready-made garment,359,1908,10012,4,3.71,40,80,0
550,Fabric,96,993,19545,12,3.89,23,50,0
246,Ready-made garment,164,1978,2164,18,4.92,38,71,0
247,Fabric,465,537,18409,6,5.62,18,50,0
451,Cotton,304,1395,15250,5,1.48,79,59,1
298,Fabric,272,1403,4154,28,0.21,69,96,1
407,Fabric,173,322,14233,25,11.03,54,91,0
588,Ready-made garment,486,1710,19451,28,4.24,83,73,0
516,Ready-made garment,209,1786,17980,19,1.22,63,86,1
523,Ready-made garment,495,1994,3598,5,9.11,54,89,0
227,Yarn,470,608,11514,10,3.54,12,93,0
138,Yarn,145,1465,8278,23,2.18,85,61,1
437,Fabric,156,716,11619,25,11.55,45,62,0
459,Fabric,169,1165,13685,19,11.05,20,68,0
228,Cotton,150,1299,14750,4,1.27,82,51,1
366,Cotton,152,1368,4114,13,10.79,15,78,0
575,Fabric,215,1376,17731,13,10.69,85,70,0
540,Yarn,463,1397,14754,17,7.61,50,68,0
572,Fabric,235,1058,4116,18,6.36,81,70,1
533,Cotton,81,1457,3204,19,2.61,50,51,0
250,Yarn,115,703,4393,26,1.46,86,74,1
514,Yarn,228,1134,12073,23,7.28,71,81,0
577,Cotton,316,251,11763,23,9.86,18,94,0
397,Fabric,492,288,3494,17,8.26,93,96,0
198,Ready-made garment,453,1059,5033,25,2.17,19,80,0
362,Fabric,86,775,2000,3,3.48,50,66,0
351,Fabric,250,737,19326,13,6.56,36,54,0
243,Cotton,407,310,2225,13,7.5,62,69,0
445,Yarn,98,1220,10257,3,0.87,13,46,0
211,Cotton,324,1944,14892,2,7.37,19,75,0
599,Fabric,488,438,7841,15,8.84,58,85,0
159,Ready-made garment,217,146,17209,3,2.18,28,63,0
468,Ready-made garment,312,919,4917,22,2.95,83,57,1
101,Ready-made garment,182,1859,10922,16,3.11,59,63,1
484,Cotton,347,1074,3166,29,11.28,57,71,0
403,Yarn,393,1180,9901,10,4.88,32,51,0
353,Cotton,225,1198,16503,20,6.37,18,67,0
239,Ready-made garment,440,1377,7652,2,8.69,75,50,0
552,Fabric,60,1786,17725,15,4.46,28,42,0
136,Yarn,250,1694,12128,8,1.27,81,76,1
259,Cotton,482,936,5278,13,7.85,99,42,0
108,Cotton,463,1051,16669,1,8.01,60,68,0
332,Yarn,346,697,18955,26,3.13,20,71,0
198,Yarn,52,269,18168,24,0.42,12,93,0
246,Fabric,263,1269,18262,2,7.98,70,77,0
403,Yarn,345,938,6839,9,8.44,91,70,0
307,Fabric,356,1156,19542,29,0.31,26,95,0
230,Ready-made garment,81,1638,10579,20,8.32,82,40,0
503,Ready-made garment,97,895,18862,20,11.27,39,76,0
251,Cotton,376,1380,13419,23,2.15,89,60,0
153,Ready-made garment,301,1249,14258,19,6.26,17,85,0
219,Ready-made garment,248,1058,11853,12,8.36,50,80,0
260,Fabric,453,1236,19108,12,2.76,35,81,0
507,Cotton,138,914,14656,10,9.02,14,59,0
215,Yarn,158,1928,10771,19,10.42,78,93,0
174,Cotton,340,441,16739,20,9.77,33,99,0
212,Ready-made garment,157,147,7589,10,3.11,87,50,1
555,Yarn,457,463,13514,19,9.65,78,98,0
519,Cotton,89,1910,17837,26,4.96,45,49,0
521,Cotton,101,1521,6417,24,3.2,98,94,1
203,Cotton,161,1318,8761,9,2.02,26,42,0
439,Cotton,344,1974,15850,29,10.91,79,99,0
353,Fabric,117,1860,9786,29,5.12,80,87,1
326,Cotton,238,824,6242,5,10.39,55,93,0
211,Ready-made garment,381,1444,4753,28,1.91,88,53,0
572,Ready-made garment,258,1917,17432,29,9.2,79,84,0
198,Fabric,114,237,2339,29,1.32,41,84,0
252,Yarn,111,454,18835,3,0.21,69,70,1
448,Yarn,307,1968,15161,23,11.94,51,74,0
501,Ready-made garment,183,1193,9750,19,0.88,49,99,0
483,Ready-made garment,171,910,12243,22,5.54,36,93,0
465,Fabric,380,1705,19391,27,10.54,14,88,0
437,Yarn,220,1606,12182,4,9.83,70,48,0
293,Yarn,259,1843,13298,23,5.65,70,93,1
409,Cotton,345,811,11651,14,7.33,89,45,0
262,Cotton,138,158,14698,6,7.56,61,68,0
307,Cotton,216,870,9574,13,1.32,84,91,1
544,Fabric,77,488,8103,28,3.42,98,85,1
268,Ready-made garment,287,1976,19509,7,3.61,75,92,1
583,Fabric,385,1474,6393,12,4.54,16,91,0
260,Yarn,112,945,2653,28,3.29,47,61,0
167,Ready-made garment,497,968,5261,20,3.02,60,94,0
388,Cotton,304,438,4066,28,4.26,10,88,0
497,Fabric,445,1800,17143,28,4.55,91,85,0
376,Fabric,90,856,10200,14,5.85,85,42,1
403,Cotton,78,695,2344,13,2.08,58,41,1
503,Fabric,328,535,7769,11,9.46,81,98,0
483,Cotton,129,1573,12706,6,10.33,29,67,0
491,Yarn,100,476,11943,26,2.98,51,76,1
234,Ready-made garment,161,490,2033,7,1.48,25,95,0
294,Yarn,410,580,6096,10,8.67,42,44,0
500,Yarn,350,920,10115,24,11.09,98,48,0
227,Cotton,139,213,18904,26,0.42,92,71,1
132,Fabric,278,1869,6858,15,0.17,25,56,0
275,Yarn,199,873,2191,9,2.2,25,50,0
559,Yarn,292,271,9019,3,8.22,57,77,0
542,Yarn,187,117,2088,5,11.58,98,74,0
470,Fabric,184,334,16981,28,9.0,64,86,0
569,Fabric,138,1433,5254,10,6.88,37,57,0
474,Cotton,64,1792,6673,15,8.41,82,75,0
121,Yarn,382,822,9789,3,2.77,91,58,0
337,Ready-made garment,411,380,15007,21,8.26,32,98,0
257,Fabric,223,930,8552,18,3.86,39,64,0
137,Cotton,139,1319,14919,3,2.67,70,85,1
329,Yarn,262,1238,15820,7,2.84,97,99,1
464,Ready-made garment,392,1520,6204,24,8.01,84,96,0
150,Fabric,110,1795,8411,21,9.21,35,79,0
537,Ready-made garment,413,1790,1777,14,6.98,20,70,0
363,Fabric,269,1686,11403,16,0.77,29,62,0
382,Cotton,110,517,14635,19,0.46,53,97,1
126,Ready-made garment,356,383,17402,4,2.61,27,90,0
325,Yarn,215,684,12215,3,3.44,43,53,0
376,Yarn,61,1451,8315,3,4.86,13,66,0
385,Fabric,265,1464,683,9,0.91,94,74,1
196,Yarn,126,721,9664,4,8.7,99,52,0
383,Ready-made garment,281,1921,2888,22,8.54,23,94,0
466,Cotton,161,320,4327,19,4.16,99,75,1
547,Fabric,115,108,2997,24,6.76,22,63,0
580,Ready-made garment,231,1205,14062,28,1.21,99,72,1
552,Fabric,472,931,3979,11,4.98,50,88,0
416,Cotton,253,1417,9257,15,10.29,88,46,0
403,Fabric,472,474,2435,4,7.93,66,48,0
246,Yarn,420,633,9518,29,1.25,96,89,0
103,Yarn,255,1538,11809,8,10.17,31,60,0
134,Fabric,335,1222,17233,2,8.17,19,71,0
291,Cotton,154,1805,16982,25,5.44,78,41,1
148,Cotton,291,801,18653,18,8.31,77,83,0
116,Yarn,284,1741,2304,3,2.07,59,96,1
271,Cotton,225,931,9752,3,6.61,25,64,0
319,Fabric,260,876,12201,21,7.42,20,40,0
257,Ready-made garment,80,1505,4670,19,11.13,77,50,0
576,Fabric,284,1986,17285,12,0.8,96,55,1
145,Yarn,291,1039,8879,24,4.5,76,62,1
472,Yarn,202,1627,12676,14,11.24,29,54,0
105,Yarn,245,546,17026,26,2.61,74,66,1
198,Cotton,484,779,12895,23,9.76,42,55,0
479,Fabric,318,443,720,27,0.02,19,85,0
332,Ready-made garment,496,524,4740,13,0.31,76,72,0
136,Fabric,433,724,7501,16,3.93,64,78,0
379,Ready-made garment,219,1963,12792,17,9.22,41,47,0
448,Fabric,487,405,17271,22,1.25,54,87,0
596,Yarn,406,247,15403,18,4.59,68,40,0
401,Ready-made garment,372,948,11723,13,1.58,40,58,0
280,Fabric,385,831,6491,29,2.68,94,65,0
194,Cotton,281,553,1059,24,6.04,97,76,1
198,Cotton,233,1037,2339,26,3.83,97,97,1
287,Fabric,408,132,2271,13,2.54,61,94,0
580,Yarn,324,1855,8176,8,4.72,19,92,0
215,Ready-made garment,479,1624,10327,7,8.41,15,86,0
290,Fabric,448,1442,18952,8,1.43,10,42,0
352,Cotton,81,1820,17400,17,5.76,55,63,1
568,Ready-made garment,226,1316,9912,24,3.3,83,61,1
515,Cotton,454,1996,1160,1,4.54,39,40,0
570,Cotton,114,1303,877,3,9.86,88,78,0
260,Fabric,247,1990,11974,4,11.16,87,48,0
355,Cotton,76,1083,659,19,2.92,72,72,1
422,Ready-made garment,200,1641,16429,28,7.56,97,62,0
227,Yarn,352,490,4674,2,8.12,72,73,0
117,Fabric,317,1644,2699,29,10.11,83,88,0
380,Ready-made garment,134,456,13480,11,10.79,99,88,0
589,Fabric,115,672,10729,29,5.62,10,74,0
322,Cotton,182,563,11091,11,11.79,29,88,0
153,Cotton,442,1029,13738,19,11.65,38,49,0
157,Ready-made garment,453,1798,6776,25,6.08,43,71,0
422,Ready-made garment,415,198,18872,28,6.5,75,41,0
459,Yarn,131,247,8668,2,8.01,75,46,0
273,Ready-made garment,430,669,1365,5,4.49,11,63,0
379,Ready-made garment,368,826,10100,19,7.94,81,42,0
213,Fabric,377,1439,5415,29,6.17,63,94,0
387,Cotton,147,1101,6741,9,0.43,98,51,1
530,Ready-made garment,122,1305,16653,7,10.23,27,78,0
441,Yarn,376,1670,7635,26,11.29,90,81,0
250,Ready-made garment,79,402,16697,12,0.31,39,75,0
549,Cotton,174,1681,18438,28,9.47,17,66,0
226,Ready-made garment,259,1722,4547,19,4.63,51,40,1
254,Fabric,321,103,17015,18,7.03,38,85,0
589,Cotton,262,877,4179,28,6.0,60,75,1
485,Ready-made garment,182,206,19960,18,6.62,92,71,1
573,Fabric,206,174,13427,21,5.94,33,66,0
372,Cotton,96,1163,2021,9,10.24,91,99,0
203,Ready-made garment,406,738,17324,2,8.2,19,83,0
516,Fabric,412,794,10433,2,4.95,25,70,0
